time_s,worst_distance_m,threshold_m
2.496793628,10.000000012,10.000000000
2.509293628,9.947700814,10.000000000
2.521793628,9.895391645,10.000000000
2.534293628,9.843072501,10.000000000
2.546793628,9.790743375,10.000000000
2.559293628,9.738404262,10.000000000
2.571793628,9.686055156,10.000000000
2.584293628,9.633696051,10.000000000
2.596793628,9.581326941,10.000000000
2.609293628,9.528947821,10.000000000
2.621793628,9.476558685,10.000000000
2.634293628,9.424159527,10.000000000
2.646793628,9.371750343,10.000000000
2.659293628,9.319331125,10.000000000
2.671793628,9.266901870,10.000000000
2.684293628,9.214462571,10.000000000
2.696793628,9.162013222,10.000000000
2.709293628,9.109553820,10.000000000
2.721793628,9.057084357,10.000000000
2.734293628,9.004604830,10.000000000
2.746793628,8.952115232,10.000000000
2.759293628,8.899615558,10.000000000
2.771793628,8.847105804,10.000000000
2.784293628,8.794585964,10.000000000
2.796793628,8.742056032,10.000000000
2.809293628,8.689516005,10.000000000
2.821793628,8.636965877,10.000000000
2.834293628,8.584405643,10.000000000
2.846793628,8.531835299,10.000000000
2.859293628,8.479254838,10.000000000
2.871793628,8.426664258,10.000000000
2.884293628,8.374063553,10.000000000
2.896793628,8.321452718,10.000000000
2.909293628,8.268831749,10.000000000
2.921793628,8.216200642,10.000000000
2.934293628,8.163559392,10.000000000
2.946793628,8.110907995,10.000000000
2.959293628,8.058246446,10.000000000
2.971793628,8.005574742,10.000000000
2.984293628,7.952892879,10.000000000
2.996793628,7.900200851,10.000000000
3.009293628,7.847498657,10.000000000
3.021793628,7.794786291,10.000000000
3.034293628,7.742063750,10.000000000
3.046793628,7.689331031,10.000000000
3.059293628,7.636588130,10.000000000
3.071793628,7.583835043,10.000000000
3.084293628,7.531071768,10.000000000
3.096793628,7.478298307,10.000000000
3.109293628,7.425514726,10.000000000
3.121793628,7.372720947,10.000000000
3.134293628,7.319916969,10.000000000
3.146793628,7.267102788,10.000000000
3.159293628,7.214278401,10.000000000
3.171793628,7.161443808,10.000000000
3.184293628,7.108599005,10.000000000
3.196793628,7.055743990,10.000000000
3.209293628,7.002878762,10.000000000
3.221793628,6.950003319,10.000000000
3.234293628,6.897117660,10.000000000
3.246793628,6.844221782,10.000000000
3.259293628,6.791315686,10.000000000
3.271793628,6.738399370,10.000000000
3.284293628,6.685472834,10.000000000
3.296793628,6.632536077,10.000000000
3.309293628,6.579589098,10.000000000
3.321793628,6.526631898,10.000000000
3.334293628,6.473664478,10.000000000
3.346793628,6.420686837,10.000000000
3.359293628,6.367698977,10.000000000
3.371793628,6.314700898,10.000000000
3.384293628,6.261692602,10.000000000
3.396793628,6.208674090,10.000000000
3.409293628,6.155645365,10.000000000
3.421793628,6.102606429,10.000000000
3.434293628,6.049557285,10.000000000
3.446793628,5.996497935,10.000000000
3.459293628,5.943428384,10.000000000
3.471793628,5.890348634,10.000000000
3.484293628,5.837258691,10.000000000
3.496793628,5.784158558,10.000000000
3.509293628,5.731048242,10.000000000
3.521793628,5.677927747,10.000000000
3.534293628,5.624797081,10.000000000
3.546793628,5.571656249,10.000000000
3.559293628,5.518505259,10.000000000
3.571793628,5.465344119,10.000000000
3.584293628,5.412172837,10.000000000
3.596793628,5.358991423,10.000000000
3.609293628,5.305799886,10.000000000
3.621793628,5.252598236,10.000000000
3.634293628,5.199386486,10.000000000
3.646793628,5.146164646,10.000000000
3.659293628,5.092932731,10.000000000
3.671793628,5.039690753,10.000000000
3.684293628,4.986438728,10.000000000
3.696793628,4.933176671,10.000000000
3.709293628,4.879904600,10.000000000
3.721793628,4.826622530,10.000000000
3.734293628,4.773330483,10.000000000
3.746793628,4.720028477,10.000000000
3.759293628,4.666716535,10.000000000
3.771793628,4.613394680,10.000000000
3.784293628,4.560062934,10.000000000
3.796793628,4.506721326,10.000000000
3.809293628,4.453369881,10.000000000
3.821793628,4.400008629,10.000000000
3.834293628,4.346637602,10.000000000
3.846793628,4.293256831,10.000000000
3.859293628,4.239866353,10.000000000
3.871793628,4.186466204,10.000000000
3.884293628,4.133056577,10.000000000
3.896793628,4.079637379,10.000000000
3.909293628,4.026208639,10.000000000
3.921793628,3.972770406,10.000000000
3.934293628,3.919322731,10.000000000
3.946793628,3.865865667,10.000000000
3.959293628,3.812399273,10.000000000
3.971793628,3.758923609,10.000000000
3.984293628,3.705438742,10.000000000
3.996793628,3.651944741,10.000000000
4.009293628,3.598441679,10.000000000
4.021793628,3.544929638,10.000000000
4.034293628,3.491408701,10.000000000
4.046793628,3.437878960,10.000000000
4.059293628,3.384340510,10.000000000
4.071793628,3.330793457,10.000000000
4.084293628,3.277237910,10.000000000
4.096793628,3.223673988,10.000000000
4.109293628,3.170101821,10.000000000
4.121793628,3.116521543,10.000000000
4.134293628,3.062933304,10.000000000
4.146793628,3.009337260,10.000000000
4.159293628,2.955733582,10.000000000
4.171793628,2.902122455,10.000000000
4.184293628,2.848504077,10.000000000
4.196793628,2.794878660,10.000000000
4.209293628,2.741246438,10.000000000
4.221793628,2.687607884,10.000000000
4.234293628,2.633963163,10.000000000
4.246793628,2.580312466,10.000000000
4.259293628,2.526656115,10.000000000
4.271793628,2.472994460,10.000000000
4.284293628,2.419327885,10.000000000
4.296793628,2.365656807,10.000000000
4.309293628,2.311981685,10.000000000
4.321793628,2.258303022,10.000000000
4.334293628,2.204621370,10.000000000
4.346793628,2.150937338,10.000000000
4.359293628,2.097251598,10.000000000
4.371793628,2.043564893,10.000000000
4.384293628,1.989878049,10.000000000
4.396793628,1.936192362,10.000000000
4.409293628,1.882508698,10.000000000
4.421793628,1.828828011,10.000000000
4.434293628,1.775151587,10.000000000
4.446793628,1.721480877,10.000000000
4.459293628,1.667817516,10.000000000
4.471793628,1.614163361,10.000000000
4.484293628,1.560520524,10.000000000
4.496793628,1.506891722,10.000000000
4.509293628,1.453280065,10.000000000
4.521793628,1.399688173,10.000000000
4.534293628,1.346119762,10.000000000
4.546793628,1.292579163,10.000000000
4.559293628,1.239071457,10.000000000
4.571793628,1.185603827,10.000000000
4.584293628,1.132182495,10.000000000
4.596793628,1.078815849,10.000000000
4.609293628,1.025514278,10.000000000
4.621793628,0.972292164,10.000000000
4.634293628,0.919163339,10.000000000
4.646793628,0.866147554,10.000000000
4.659293628,0.813270809,10.000000000
4.671793628,0.760562254,10.000000000
4.684293628,0.708065407,10.000000000
4.696793628,0.655831358,10.000000000
4.709293628,0.603933418,10.000000000
4.721793628,0.583150942,10.000000000
4.734293628,0.569203048,10.000000000
4.746793628,0.559976874,10.000000000
4.759293628,0.555725998,10.000000000
4.771793628,0.570927162,10.000000000
4.784293628,0.621696588,10.000000000
4.796793628,0.672516194,10.000000000
4.809293628,0.723378378,10.000000000
4.821793628,0.774275654,10.000000000
4.834293628,0.825203415,10.000000000
4.846793628,0.876158932,10.000000000
4.859293628,0.927138693,10.000000000
4.871793628,0.978140362,10.000000000
4.884293628,1.029162202,10.000000000
4.896793628,1.080202805,10.000000000
4.909293628,1.131261016,10.000000000
4.921793628,1.182336254,10.000000000
4.934293628,1.233427448,10.000000000
4.946793628,1.284533797,10.000000000
4.959293628,1.335654740,10.000000000
4.971793628,1.386789801,10.000000000
4.984293628,1.437938571,10.000000000
4.996793628,1.489100700,10.000000000
5.009293628,1.540275885,10.000000000
5.021793628,1.591463862,10.000000000
5.034293628,1.642664402,10.000000000
5.046793628,1.693877304,10.000000000
5.059293628,1.745102391,10.000000000
5.071793628,1.796339507,10.000000000
5.084293628,1.847588516,10.000000000
5.096793628,1.898849486,10.000000000
5.109293628,1.950122108,10.000000000
5.121793628,2.001406285,10.000000000
5.134293628,2.052701933,10.000000000
5.146793628,2.104008976,10.000000000
5.159293628,2.155327344,10.000000000
5.171793628,2.206656978,10.000000000
5.184293628,2.257997821,10.000000000
5.196793628,2.309349825,10.000000000
5.209293628,2.360712946,10.000000000
5.221793628,2.412087144,10.000000000
5.234293628,2.463472382,10.000000000
5.246793628,2.514868628,10.000000000
5.259293628,2.566275854,10.000000000
5.271793628,2.617694032,10.000000000
5.284293628,2.669123141,10.000000000
5.296793628,2.720563157,10.000000000
5.309293628,2.772014064,10.000000000
5.321793628,2.823475842,10.000000000
5.334293628,2.874948478,10.000000000
5.346793628,2.926431957,10.000000000
5.359293628,2.977926268,10.000000000
5.371793628,3.029431400,10.000000000
5.384293628,3.080947343,10.000000000
5.396793628,3.132474089,10.000000000
5.409293628,3.184011631,10.000000000
5.421793628,3.235559963,10.000000000
5.434293628,3.287119079,10.000000000
5.446793628,3.338688974,10.000000000
5.459293628,3.390269646,10.000000000
5.471793628,3.441861090,10.000000000
5.484293628,3.493463305,10.000000000
5.496793628,3.545076289,10.000000000
5.509293628,3.596700041,10.000000000
5.521793628,3.648334560,10.000000000
5.534293628,3.699979846,10.000000000
5.546793628,3.751635899,10.000000000
5.559293628,3.803302721,10.000000000
5.571793628,3.854980311,10.000000000
5.584293628,3.906668673,10.000000000
5.596793628,3.958367807,10.000000000
5.609293628,4.010077716,10.000000000
5.621793628,4.061798403,10.000000000
5.634293628,4.113529870,10.000000000
5.646793628,4.165272127,10.000000000
5.659293628,4.217025207,10.000000000
5.671793628,4.268789077,10.000000000
5.684293628,4.320563739,10.000000000
5.696793628,4.372349199,10.000000000
5.709293628,4.424145461,10.000000000
5.721793628,4.475952529,10.000000000
5.734293628,4.527770408,10.000000000
5.746793628,4.579599102,10.000000000
5.759293628,4.631438617,10.000000000
5.771793628,4.683288958,10.000000000
5.784293628,4.735150130,10.000000000
5.796793628,4.787022139,10.000000000
5.809293628,4.838904990,10.000000000
5.821793628,4.890798689,10.000000000
5.834293628,4.942703242,10.000000000
5.846793628,4.994618655,10.000000000
5.859293628,5.046544933,10.000000000
5.871793628,5.098482083,10.000000000
5.884293628,5.150430112,10.000000000
5.896793628,5.202389025,10.000000000
5.909293628,5.254358828,10.000000000
5.921793628,5.306339530,10.000000000
5.934293628,5.358331135,10.000000000
5.946793628,5.410333652,10.000000000
5.959293628,5.462347085,10.000000000
5.971793628,5.514371443,10.000000000
5.984293628,5.566406733,10.000000000
5.996793628,5.618452960,10.000000000
6.009293628,5.670510133,10.000000000
6.021793628,5.722578258,10.000000000
6.034293628,5.774657343,10.000000000
6.046793628,5.826747394,10.000000000
6.059293628,5.878848419,10.000000000
6.071793628,5.930960426,10.000000000
6.084293628,5.983083421,10.000000000
6.096793628,6.035217412,10.000000000
6.109293628,6.087362407,10.000000000
6.121793628,6.139518413,10.000000000
6.134293628,6.191685437,10.000000000
6.146793628,6.243863487,10.000000000
6.159293628,6.296052571,10.000000000
6.171793628,6.348252697,10.000000000
6.184293628,6.400463871,10.000000000
6.196793628,6.452686103,10.000000000
6.209293628,6.504919399,10.000000000
6.221793628,6.557163767,10.000000000
6.234293628,6.609419216,10.000000000
6.246793628,6.661685753,10.000000000
6.259293628,6.713963386,10.000000000
6.271793628,6.766252123,10.000000000
6.284293628,6.818551973,10.000000000
6.296793628,6.870862942,10.000000000
6.309293628,6.923185039,10.000000000
6.321793628,6.975518272,10.000000000
6.334293628,7.027862650,10.000000000
6.346793628,7.080218180,10.000000000
6.359293628,7.132584870,10.000000000
6.371793628,7.184962729,10.000000000
6.384293628,7.237351764,10.000000000
6.396793628,7.289751985,10.000000000
6.409293628,7.342163399,10.000000000
6.421793628,7.394586014,10.000000000
6.434293628,7.447019839,10.000000000
6.446793628,7.499464883,10.000000000
6.459293628,7.551921152,10.000000000
6.471793628,7.604388656,10.000000000
6.484293628,7.656867404,10.000000000
6.496793628,7.709357403,10.000000000
6.509293628,7.761858661,10.000000000
6.521793628,7.814371188,10.000000000
6.534293628,7.866894992,10.000000000
6.546793628,7.919430081,10.000000000
6.559293628,7.971976464,10.000000000
6.571793628,8.024534149,10.000000000
6.584293628,8.077103144,10.000000000
6.596793628,8.129683459,10.000000000
6.609293628,8.182275101,10.000000000
6.621793628,8.234878080,10.000000000
6.634293628,8.287492403,10.000000000
6.646793628,8.340118081,10.000000000
6.659293628,8.392755120,10.000000000
6.671793628,8.445403530,10.000000000
6.684293628,8.498063319,10.000000000
6.696793628,8.550734497,10.000000000
6.709293628,8.603417071,10.000000000
6.721793628,8.656111050,10.000000000
6.734293628,8.708816444,10.000000000
6.746793628,8.761533260,10.000000000
6.759293628,8.814261508,10.000000000
6.771793628,8.867001196,10.000000000
6.784293628,8.919752334,10.000000000
6.796793628,8.972514929,10.000000000
6.809293628,9.025288991,10.000000000
6.821793628,9.078074528,10.000000000
6.834293628,9.130871549,10.000000000
6.846793628,9.183680064,10.000000000
6.859293628,9.236500080,10.000000000
6.871793628,9.289331608,10.000000000
6.884293628,9.342174654,10.000000000
6.896793628,9.395029230,10.000000000
6.909293628,9.447895343,10.000000000
6.921793628,9.500773002,10.000000000
6.934293628,9.553662216,10.000000000
6.946793628,9.606562994,10.000000000
6.959293628,9.659475346,10.000000000
6.971793628,9.712399280,10.000000000
6.984293628,9.765334804,10.000000000
6.996793628,9.818281929,10.000000000
7.009293628,9.871240663,10.000000000
7.021793628,9.924211014,10.000000000
7.034293628,9.977192993,10.000000000
7.046793628,10.030186608,10.000000000
7.059293628,10.083191867,10.000000000
7.071793628,10.136208781,10.000000000
7.084293628,10.189237358,10.000000000
7.096793628,10.242277608,10.000000000
7.109293628,10.295329538,10.000000000
7.121793628,10.348393159,10.000000000
7.134293628,10.401468480,10.000000000
7.146793628,10.454555509,10.000000000
7.159293628,10.507654257,10.000000000
7.171793628,10.560764731,10.000000000
7.184293628,10.613886941,10.000000000
7.196793628,10.667020896,10.000000000
7.209293628,10.720166606,10.000000000
7.221793628,10.773324079,10.000000000
7.234293628,10.826493325,10.000000000
7.246793628,10.879674353,10.000000000
7.259293628,10.932867173,10.000000000
7.271793628,10.986071792,10.000000000
7.284293628,11.039288222,10.000000000
7.296793628,11.092516470,10.000000000
7.309293628,11.145756547,10.000000000
7.321793628,11.199008461,10.000000000
7.334293628,11.252272221,10.000000000
7.346793628,11.305547838,10.000000000
7.359293628,11.358835320,10.000000000
7.371793628,11.412134676,10.000000000
7.384293628,11.465445917,10.000000000
7.396793628,11.518769051,10.000000000
7.409293628,11.572104087,10.000000000
7.421793628,11.625451035,10.000000000
7.434293628,11.678809905,10.000000000
7.446793628,11.732180706,10.000000000
7.459293628,11.785563450,10.000000000
7.471793628,11.838958144,10.000000000
7.484293628,11.892364796,10.000000000
7.496793628,11.945783417,10.000000000
7.509293628,11.999214015,10.000000000
7.521793628,12.052656600,10.000000000
7.534293628,12.106111181,10.000000000
7.546793628,12.159577768,10.000000000
7.559293628,12.213056370,10.000000000
7.571793628,12.266546997,10.000000000
7.584293628,12.320049658,10.000000000
7.596793628,12.373564363,10.000000000
7.609293628,12.427091121,10.000000000
7.621793628,12.480629942,10.000000000
7.634293628,12.534180835,10.000000000
7.646793628,12.587743810,10.000000000
7.659293628,12.641318877,10.000000000
7.671793628,12.694906044,10.000000000
7.684293628,12.748505321,10.000000000
7.696793628,12.802116719,10.000000000
7.709293628,12.855740246,10.000000000
7.721793628,12.909375912,10.000000000
7.734293628,12.963023727,10.000000000
7.746793628,13.016683701,10.000000000
7.759293628,13.070355842,10.000000000
7.771793628,13.124040162,10.000000000
7.784293628,13.177736668,10.000000000
7.796793628,13.231445371,10.000000000
7.809293628,13.285166281,10.000000000
7.821793628,13.338899408,10.000000000
7.834293628,13.392644760,10.000000000
7.846793628,13.446402348,10.000000000
7.859293628,13.500172181,10.000000000
7.871793628,13.553954269,10.000000000
7.884293628,13.607748622,10.000000000
7.896793628,13.661555249,10.000000000
7.909293628,13.715374161,10.000000000
7.921793628,13.769205367,10.000000000
7.934293628,13.823048876,10.000000000
7.946793628,13.876904699,10.000000000
7.959293628,13.937094137,10.000000000
7.971793628,14.591918292,10.000000000
7.984293628,16.114509225,10.000000000
7.996793628,18.289411618,10.000000000
8.009293628,20.914100238,10.000000000
8.021793628,23.840479061,10.000000000
8.034293628,26.970523477,10.000000000
8.046793628,30.241059390,10.000000000
8.059293628,33.611100117,10.000000000
8.071793628,37.053505513,10.000000000
8.084293628,40.549849965,10.000000000
8.096793628,44.087302427,10.000000000
8.109293628,47.656709706,10.000000000
8.121793628,51.251395750,10.000000000
8.134293628,54.866392212,10.000000000
8.146793628,58.497933844,10.000000000
8.159293628,62.143120097,10.000000000
8.171793628,65.799683345,10.000000000
8.184293628,69.465827016,10.000000000
8.196793628,73.140110468,10.000000000
8.209293628,76.821365760,10.000000000
8.221793628,80.508636536,10.000000000
8.234293628,84.201132523,10.000000000
8.246793628,87.898195210,10.000000000
8.259293628,91.599271644,10.000000000
8.271793628,95.303894212,10.000000000
8.284293628,99.011664868,10.000000000
8.296793628,102.722242720,10.000000000
8.309293628,106.435334174,10.000000000
8.321793628,110.150685034,10.000000000
8.334293628,113.868074139,10.000000000
8.346793628,117.587308177,10.000000000
8.359293628,121.308217455,10.000000000
8.371793628,125.030652408,10.000000000
8.384293628,128.754480710,10.000000000
8.396793628,132.479584864,10.000000000
8.409293628,136.205860190,10.000000000
8.421793628,139.933213128,10.000000000
8.434293628,143.661559800,10.000000000
8.446793628,147.390824794,10.000000000
8.459293628,151.120940127,10.000000000
8.471793628,154.851844346,10.000000000
8.484293628,158.583481775,10.000000000
8.496793628,162.315801843,10.000000000
8.509293628,166.048758519,10.000000000
8.521793628,169.782309812,10.000000000
8.534293628,173.516417339,10.000000000
8.546793628,177.251045946,10.000000000
8.559293628,180.986163376,10.000000000
8.571793628,184.721739975,10.000000000
8.584293628,188.457748440,10.000000000
8.596793628,192.194163586,10.000000000
8.609293628,195.930962146,10.000000000
8.621793628,199.668122594,10.000000000
8.634293628,203.405624983,10.000000000
8.646793628,207.143450803,10.000000000
8.659293628,210.881582857,10.000000000
8.671793628,214.620005143,10.000000000
8.684293628,218.358702754,10.000000000
8.696793628,222.097661787,10.000000000
8.709293628,225.836869256,10.000000000
8.721793628,229.576313023,10.000000000
8.734293628,233.315981726,10.000000000
8.746793628,237.055864720,10.000000000
8.759293628,240.795952020,10.000000000
8.771793628,244.536234251,10.000000000
8.784293628,248.276702604,10.000000000
8.796793628,252.017348791,10.000000000
8.809293628,255.758165010,10.000000000
8.821793628,259.499143907,10.000000000
8.834293628,263.240278547,10.000000000
8.846793628,266.981562382,10.000000000
8.859293628,270.722989227,10.000000000
8.871793628,274.464553234,10.000000000
8.884293628,278.206248869,10.000000000
8.896793628,281.948070890,10.000000000
8.909293628,285.690014333,10.000000000
8.921793628,289.432074487,10.000000000
8.934293628,293.174246884,10.000000000
8.946793628,296.916527280,10.000000000
8.959293628,300.658911641,10.000000000
8.971793628,304.401396134,10.000000000
8.984293628,308.143977110,10.000000000
8.996793628,311.886651096,10.000000000
9.009293628,315.629414782,10.000000000
9.021793628,319.372265016,10.000000000
9.034293628,323.115198790,10.000000000
9.046793628,326.858213233,10.000000000
9.059293628,330.601305606,10.000000000
9.071793628,334.344473292,10.000000000
9.084293628,338.087713789,10.000000000
9.096793628,341.831024705,10.000000000
9.109293628,345.574403751,10.000000000
9.121793628,349.317848738,10.000000000
9.134293628,353.061357568,10.000000000
9.146793628,356.804928231,10.000000000
9.159293628,360.548558802,10.000000000
9.171793628,364.292247433,10.000000000
9.184293628,368.035992353,10.000000000
9.196793628,371.779791861,10.000000000
9.209293628,375.523644324,10.000000000
9.221793628,379.267548175,10.000000000
9.234293628,383.011501907,10.000000000
9.246793628,386.755504070,10.000000000
9.259293628,390.499553272,10.000000000
9.271793628,394.243648173,10.000000000
9.284293628,397.987787482,10.000000000
9.296793628,401.731969959,10.000000000
9.309293628,405.476194407,10.000000000
9.321793628,409.220459675,10.000000000
9.334293628,412.964764652,10.000000000
9.346793628,416.709108267,10.000000000
9.359293628,420.453489489,10.000000000
9.371793628,424.197907321,10.000000000
9.384293628,427.942360802,10.000000000
9.396793628,431.686849006,10.000000000
9.409293628,435.431371035,10.000000000
9.421793628,439.175926026,10.000000000
9.434293628,442.920513141,10.000000000
9.446793628,446.665131573,10.000000000
9.459293628,450.409780541,10.000000000
9.471793628,454.154459289,10.000000000
9.484293628,457.899167087,10.000000000
9.496793628,461.643903229,10.000000000
9.509293628,465.388667028,10.000000000
9.521793628,469.133457825,10.000000000
9.534293628,472.878274976,10.000000000
9.546793628,476.623117861,10.000000000
9.559293628,480.367985878,10.000000000
9.571793628,484.112878444,10.000000000
9.584293628,487.857794993,10.000000000
9.596793628,491.602734978,10.000000000
