n_theta,entry_time_s,exit_time_s,duration_s
90,0.9317319851,5.5197943636,4.5880623786
180,0.9317319851,5.5197943636,4.5880623786
360,0.9317319851,5.5197943636,4.5880623786
720,0.9317319851,5.5197943636,4.5880623786
1440,0.9317319851,5.5197943636,4.5880623786
2880,0.9317321764,5.5197943427,4.5880621662
5760,0.9317321764,5.5197943365,4.5880621601
