seed,iteration,best_duration_s
outward_geometric_start,126,4.587915312
outward_geometric_start,127,4.587915312
outward_geometric_start,128,4.587947926
outward_geometric_start,129,4.587947926
outward_geometric_start,130,4.587965771
outward_geometric_start,131,4.587965771
outward_geometric_start,132,4.587965771
outward_geometric_start,133,4.587966018
outward_geometric_start,134,4.587966018
outward_geometric_start,135,4.587968042
outward_geometric_start,136,4.587968042
outward_geometric_start,137,4.587978243
outward_geometric_start,138,4.587978243
outward_geometric_start,139,4.587978243
outward_geometric_start,140,4.587978243
outward_geometric_start,141,4.587978243
outward_geometric_start,142,4.587978243
outward_geometric_start,143,4.587987203
outward_geometric_start,144,4.587987203
outward_geometric_start,145,4.587987203
outward_geometric_start,146,4.587987203
outward_geometric_start,147,4.587987203
outward_geometric_start,148,4.587989977
outward_geometric_start,149,4.588002619
outward_geometric_start,150,4.588002619
outward_geometric_start,151,4.588002619
outward_geometric_start,152,4.588009454
outward_geometric_start,153,4.588009647
outward_geometric_start,154,4.588009647
outward_geometric_start,155,4.588016101
outward_geometric_start,156,4.588018868
outward_geometric_start,157,4.588027021
outward_geometric_start,158,4.588027021
outward_geometric_start,159,4.588027545
outward_geometric_start,160,4.588027545
outward_geometric_start,161,4.588027545
outward_geometric_start,162,4.588027580
outward_geometric_start,163,4.588027580
outward_geometric_start,164,4.588028075
outward_geometric_start,165,4.588028591
outward_geometric_start,166,4.588028591
outward_geometric_start,167,4.588028591
outward_geometric_start,168,4.588028597
outward_geometric_start,169,4.588028597
outward_geometric_start,170,4.588028597
outward_geometric_start,171,4.588028597
outward_geometric_start,172,4.588028737
outward_geometric_start,173,4.588028737
outward_geometric_start,174,4.588028737
outward_geometric_start,175,4.588028737
outward_geometric_start,176,4.588028737
outward_geometric_start,177,4.588028783
outward_geometric_start,178,4.588028783
outward_geometric_start,179,4.588028783
outward_geometric_start,180,4.588028783
outward_geometric_start,181,4.588028828
outward_geometric_start,182,4.588028828
outward_geometric_start,183,4.588028828
outward_geometric_start,184,4.588028865
outward_geometric_start,185,4.588028865
outward_geometric_start,186,4.588028865
outward_geometric_start,187,4.588028878
outward_geometric_start,188,4.588028878
outward_geometric_start,189,4.588028892
outward_geometric_start,190,4.588028962
outward_geometric_start,191,4.588028962
outward_geometric_start,192,4.588028962
outward_geometric_start,193,4.588028962
outward_geometric_start,194,4.588028962
