bomb,explosion_time_s,time_s,worst_distance_m,threshold_m
1,3.614000000,3.889733907,15.037560444,10.000000000
1,3.614000000,3.896627255,15.010457445,10.000000000
1,3.614000000,3.903520603,14.983358208,10.000000000
1,3.614000000,3.910413950,14.956262771,10.000000000
1,3.614000000,3.917307298,14.929171173,10.000000000
1,3.614000000,3.924200646,14.902083451,10.000000000
1,3.614000000,3.931093993,14.874999645,10.000000000
1,3.614000000,3.937987341,14.847919794,10.000000000
1,3.614000000,3.944880689,14.820843938,10.000000000
1,3.614000000,3.951774036,14.793772115,10.000000000
1,3.614000000,3.958667384,14.766704365,10.000000000
1,3.614000000,3.965560732,14.739640730,10.000000000
1,3.614000000,3.972454079,14.712581250,10.000000000
1,3.614000000,3.979347427,14.685525965,10.000000000
1,3.614000000,3.986240775,14.658474917,10.000000000
1,3.614000000,3.993134122,14.631428147,10.000000000
1,3.614000000,4.000027470,14.604385697,10.000000000
1,3.614000000,4.006920818,14.577347609,10.000000000
1,3.614000000,4.013814165,14.550313927,10.000000000
1,3.614000000,4.020707513,14.523284691,10.000000000
1,3.614000000,4.027600861,14.496259947,10.000000000
1,3.614000000,4.034494208,14.469239736,10.000000000
1,3.614000000,4.041387556,14.442224103,10.000000000
1,3.614000000,4.048280904,14.415213092,10.000000000
1,3.614000000,4.055174251,14.388206748,10.000000000
1,3.614000000,4.062067599,14.361205115,10.000000000
1,3.614000000,4.068960947,14.334208238,10.000000000
1,3.614000000,4.075854295,14.307216163,10.000000000
1,3.614000000,4.082747642,14.280228936,10.000000000
1,3.614000000,4.089640990,14.253246602,10.000000000
1,3.614000000,4.096534338,14.226269210,10.000000000
1,3.614000000,4.103427685,14.199296921,10.000000000
1,3.614000000,4.110321033,14.172329756,10.000000000
1,3.614000000,4.117214381,14.145367673,10.000000000
1,3.614000000,4.124107728,14.118410721,10.000000000
1,3.614000000,4.131001076,14.091458948,10.000000000
1,3.614000000,4.137894424,14.064512403,10.000000000
1,3.614000000,4.144787771,14.037571134,10.000000000
1,3.614000000,4.151681119,14.010635193,10.000000000
1,3.614000000,4.158574467,13.983704627,10.000000000
1,3.614000000,4.165467814,13.956779489,10.000000000
1,3.614000000,4.172361162,13.929859828,10.000000000
1,3.614000000,4.179254510,13.902945695,10.000000000
1,3.614000000,4.186147857,13.876037143,10.000000000
1,3.614000000,4.193041205,13.849134223,10.000000000
1,3.614000000,4.199934553,13.822236987,10.000000000
1,3.614000000,4.206827900,13.795345488,10.000000000
1,3.614000000,4.213721248,13.768459780,10.000000000
1,3.614000000,4.220614596,13.741579915,10.000000000
1,3.614000000,4.227507943,13.714705949,10.000000000
1,3.614000000,4.234401291,13.687837935,10.000000000
1,3.614000000,4.241294639,13.660975928,10.000000000
1,3.614000000,4.248187986,13.634119984,10.000000000
1,3.614000000,4.255081334,13.607270158,10.000000000
1,3.614000000,4.261974682,13.580426507,10.000000000
1,3.614000000,4.268868030,13.553589087,10.000000000
1,3.614000000,4.275761377,13.526757956,10.000000000
1,3.614000000,4.282654725,13.499933170,10.000000000
1,3.614000000,4.289548073,13.473114788,10.000000000
1,3.614000000,4.296441420,13.446302870,10.000000000
1,3.614000000,4.303334768,13.419497472,10.000000000
1,3.614000000,4.310228116,13.392698655,10.000000000
1,3.614000000,4.317121463,13.365906480,10.000000000
1,3.614000000,4.324014811,13.339121006,10.000000000
1,3.614000000,4.330908159,13.312342293,10.000000000
1,3.614000000,4.337801506,13.285570405,10.000000000
1,3.614000000,4.344694854,13.258805402,10.000000000
1,3.614000000,4.351588202,13.232047347,10.000000000
1,3.614000000,4.358481549,13.205296303,10.000000000
1,3.614000000,4.365374897,13.178552333,10.000000000
1,3.614000000,4.372268245,13.151815502,10.000000000
1,3.614000000,4.379161592,13.125085873,10.000000000
1,3.614000000,4.386054940,13.098363512,10.000000000
1,3.614000000,4.392948288,13.071648484,10.000000000
1,3.614000000,4.399841635,13.044940856,10.000000000
1,3.614000000,4.406734983,13.018240723,10.000000000
1,3.614000000,4.413628331,12.991548321,10.000000000
1,3.614000000,4.420521678,12.964863519,10.000000000
1,3.614000000,4.427415026,12.938186387,10.000000000
1,3.614000000,4.434308374,12.911516993,10.000000000
1,3.614000000,4.441201722,12.884855407,10.000000000
1,3.614000000,4.448095069,12.858201699,10.000000000
1,3.614000000,4.454988417,12.831555939,10.000000000
1,3.614000000,4.461881765,12.804918198,10.000000000
1,3.614000000,4.468775112,12.778288549,10.000000000
1,3.614000000,4.475668460,12.751667063,10.000000000
1,3.614000000,4.482561808,12.725053814,10.000000000
1,3.614000000,4.489455155,12.698448875,10.000000000
1,3.614000000,4.496348503,12.671852320,10.000000000
1,3.614000000,4.503241851,12.645264225,10.000000000
1,3.614000000,4.510135198,12.618684664,10.000000000
1,3.614000000,4.517028546,12.592113713,10.000000000
1,3.614000000,4.523921894,12.565551450,10.000000000
1,3.614000000,4.530815241,12.538997952,10.000000000
1,3.614000000,4.537708589,12.512453297,10.000000000
1,3.614000000,4.544601937,12.485917563,10.000000000
1,3.614000000,4.551495284,12.459390829,10.000000000
1,3.614000000,4.558388632,12.432873177,10.000000000
1,3.614000000,4.565281980,12.406364686,10.000000000
1,3.614000000,4.572175327,12.379865438,10.000000000
1,3.614000000,4.579068675,12.353375515,10.000000000
1,3.614000000,4.585962023,12.326894999,10.000000000
1,3.614000000,4.592855370,12.300423975,10.000000000
1,3.614000000,4.599748718,12.273962526,10.000000000
1,3.614000000,4.606642066,12.247510737,10.000000000
1,3.614000000,4.613535413,12.221068695,10.000000000
1,3.614000000,4.620428761,12.194636485,10.000000000
1,3.614000000,4.627322109,12.168214194,10.000000000
1,3.614000000,4.634215457,12.141801910,10.000000000
1,3.614000000,4.641108804,12.115399723,10.000000000
1,3.614000000,4.648002152,12.089007720,10.000000000
1,3.614000000,4.654895500,12.062625994,10.000000000
1,3.614000000,4.661788847,12.036254634,10.000000000
1,3.614000000,4.668682195,12.009893732,10.000000000
1,3.614000000,4.675575543,11.983543493,10.000000000
1,3.614000000,4.682468890,11.957204035,10.000000000
1,3.614000000,4.689362238,11.930875315,10.000000000
1,3.614000000,4.696255586,11.904557428,10.000000000
1,3.614000000,4.703148933,11.878250471,10.000000000
1,3.614000000,4.710042281,11.851954540,10.000000000
1,3.614000000,4.716935629,11.825669733,10.000000000
1,3.614000000,4.723828976,11.799396147,10.000000000
1,3.614000000,4.730722324,11.773133882,10.000000000
1,3.614000000,4.737615672,11.746883038,10.000000000
1,3.614000000,4.744509019,11.720643716,10.000000000
1,3.614000000,4.751402367,11.694416018,10.000000000
1,3.614000000,4.758295715,11.668200046,10.000000000
1,3.614000000,4.765189062,11.641995905,10.000000000
1,3.614000000,4.772082410,11.615803698,10.000000000
1,3.614000000,4.778975758,11.589623531,10.000000000
1,3.614000000,4.785869105,11.563455511,10.000000000
1,3.614000000,4.792762453,11.537299745,10.000000000
1,3.614000000,4.799655801,11.511156341,10.000000000
1,3.614000000,4.806549149,11.485025409,10.000000000
1,3.614000000,4.813442496,11.458907058,10.000000000
1,3.614000000,4.820335844,11.432801401,10.000000000
1,3.614000000,4.827229192,11.406708549,10.000000000
1,3.614000000,4.834122539,11.380628615,10.000000000
1,3.614000000,4.841015887,11.354561714,10.000000000
1,3.614000000,4.847909235,11.328507961,10.000000000
1,3.614000000,4.854802582,11.302467472,10.000000000
1,3.614000000,4.861695930,11.276440365,10.000000000
1,3.614000000,4.868589278,11.250426757,10.000000000
1,3.614000000,4.875482625,11.224426769,10.000000000
1,3.614000000,4.882375973,11.198440522,10.000000000
1,3.614000000,4.889269321,11.172468135,10.000000000
1,3.614000000,4.896162668,11.146509734,10.000000000
1,3.614000000,4.903056016,11.120565440,10.000000000
1,3.614000000,4.909949364,11.094635531,10.000000000
1,3.614000000,4.916842711,11.068720102,10.000000000
1,3.614000000,4.923736059,11.042819160,10.000000000
1,3.614000000,4.930629407,11.016932833,10.000000000
1,3.614000000,4.937522754,10.991061251,10.000000000
1,3.614000000,4.944416102,10.965204545,10.000000000
1,3.614000000,4.951309450,10.939362846,10.000000000
1,3.614000000,4.958202797,10.913536288,10.000000000
1,3.614000000,4.965096145,10.887725006,10.000000000
1,3.614000000,4.971989493,10.861929134,10.000000000
1,3.614000000,4.978882840,10.836148809,10.000000000
1,3.614000000,4.985776188,10.810384171,10.000000000
1,3.614000000,4.992669536,10.784635357,10.000000000
1,3.614000000,4.999562884,10.758902509,10.000000000
1,3.614000000,5.006456231,10.733185769,10.000000000
1,3.614000000,5.013349579,10.707485279,10.000000000
1,3.614000000,5.020242927,10.681801185,10.000000000
1,3.614000000,5.027136274,10.656133633,10.000000000
1,3.614000000,5.034029622,10.630482769,10.000000000
1,3.614000000,5.040922970,10.604848743,10.000000000
1,3.614000000,5.047816317,10.579231704,10.000000000
1,3.614000000,5.054709665,10.553631804,10.000000000
1,3.614000000,5.061603013,10.528049196,10.000000000
1,3.614000000,5.068496360,10.502484033,10.000000000
1,3.614000000,5.075389708,10.476936472,10.000000000
1,3.614000000,5.082283056,10.451406670,10.000000000
1,3.614000000,5.089176403,10.425894785,10.000000000
1,3.614000000,5.096069751,10.400400978,10.000000000
1,3.614000000,5.102963099,10.374925409,10.000000000
1,3.614000000,5.109856446,10.349468243,10.000000000
1,3.614000000,5.116749794,10.324029839,10.000000000
1,3.614000000,5.123643142,10.298610268,10.000000000
1,3.614000000,5.130536489,10.273209599,10.000000000
1,3.614000000,5.137429837,10.247828000,10.000000000
1,3.614000000,5.144323185,10.222465642,10.000000000
1,3.614000000,5.151216532,10.197122699,10.000000000
1,3.614000000,5.158109880,10.171799343,10.000000000
1,3.614000000,5.165003228,10.146495751,10.000000000
1,3.614000000,5.171896575,10.121212101,10.000000000
1,3.614000000,5.178789923,10.095948571,10.000000000
1,3.614000000,5.185683271,10.070705343,10.000000000
1,3.614000000,5.192576619,10.045482598,10.000000000
1,3.614000000,5.199469966,10.020280521,10.000000000
1,3.614000000,5.206363314,9.995099299,10.000000000
1,3.614000000,5.213256662,9.969939119,10.000000000
1,3.614000000,5.220150009,9.944800170,10.000000000
1,3.614000000,5.227043357,9.919682645,10.000000000
1,3.614000000,5.233936705,9.894586736,10.000000000
1,3.614000000,5.240830052,9.869512638,10.000000000
1,3.614000000,5.247723400,9.844460548,10.000000000
1,3.614000000,5.254616748,9.819430666,10.000000000
1,3.614000000,5.261510095,9.794423191,10.000000000
1,3.614000000,5.268403443,9.769438327,10.000000000
1,3.614000000,5.275296791,9.744476278,10.000000000
1,3.614000000,5.282190138,9.719537251,10.000000000
1,3.614000000,5.289083486,9.694621454,10.000000000
1,3.614000000,5.295976834,9.669729139,10.000000000
1,3.614000000,5.302870181,9.644860756,10.000000000
1,3.614000000,5.309763529,9.620016243,10.000000000
1,3.614000000,5.316656877,9.595195814,10.000000000
1,3.614000000,5.323550224,9.570399690,10.000000000
1,3.614000000,5.330443572,9.545628090,10.000000000
1,3.614000000,5.337336920,9.520881239,10.000000000
1,3.614000000,5.344230267,9.496159360,10.000000000
1,3.614000000,5.351123615,9.471462682,10.000000000
1,3.614000000,5.358016963,9.446791434,10.000000000
1,3.614000000,5.364910311,9.422145847,10.000000000
1,3.614000000,5.371803658,9.397526156,10.000000000
1,3.614000000,5.378697006,9.372932597,10.000000000
1,3.614000000,5.385590354,9.348365409,10.000000000
1,3.614000000,5.392483701,9.323824832,10.000000000
1,3.614000000,5.399377049,9.299311110,10.000000000
1,3.614000000,5.406270397,9.274824488,10.000000000
1,3.614000000,5.413163744,9.250365214,10.000000000
1,3.614000000,5.420057092,9.225933539,10.000000000
1,3.614000000,5.426950440,9.201529715,10.000000000
1,3.614000000,5.433843787,9.177153998,10.000000000
1,3.614000000,5.440737135,9.152806646,10.000000000
1,3.614000000,5.447630483,9.128487918,10.000000000
1,3.614000000,5.454523830,9.104198078,10.000000000
1,3.614000000,5.461417178,9.079937545,10.000000000
1,3.614000000,5.468310526,9.055706625,10.000000000
1,3.614000000,5.475203873,9.031505396,10.000000000
1,3.614000000,5.482097221,9.007334133,10.000000000
1,3.614000000,5.488990569,8.983193111,10.000000000
1,3.614000000,5.495883916,8.959082609,10.000000000
1,3.614000000,5.502777264,8.935002908,10.000000000
1,3.614000000,5.509670612,8.910954291,10.000000000
1,3.614000000,5.516563959,8.886937046,10.000000000
1,3.614000000,5.523457307,8.862951463,10.000000000
1,3.614000000,5.530350655,8.838997834,10.000000000
1,3.614000000,5.537244002,8.815076453,10.000000000
1,3.614000000,5.544137350,8.791187620,10.000000000
1,3.614000000,5.551030698,8.767331635,10.000000000
1,3.614000000,5.557924046,8.743508803,10.000000000
1,3.614000000,5.564817393,8.719719430,10.000000000
