n_theta,union_start_s,union_end_s,union_duration_s
90,5.2050201971,12.8146867555,7.6096665584
180,5.2050201971,12.8146867518,7.6096665547
360,5.2050201971,12.8146867512,7.6096665541
720,5.2050201971,12.8146867509,7.6096665538
1440,5.2050212994,12.8146867509,7.6096654515
2880,5.2050212994,12.8146867509,7.6096654515
5760,5.2050212994,12.8146867509,7.6096654515
