time_s,full_target_worst_distance_m,center_point_distance_m,bottom_center_distance_m,threshold_m
8.35000000,8.75951344,8.62204583,8.70416482,10.00000000
8.36666667,8.68982355,8.55471585,8.63570743,10.00000000
8.38333333,8.62022990,8.48748119,8.56734175,10.00000000
8.40000000,8.55073563,8.42034475,8.49907062,10.00000000
8.41666667,8.48134360,8.35330949,8.43089695,10.00000000
8.43333333,8.41205733,8.28637850,8.36282374,10.00000000
8.45000000,8.34287974,8.21955493,8.29485411,10.00000000
8.46666667,8.27381465,8.15284208,8.22699125,10.00000000
8.48333333,8.20486520,8.08624331,8.15923849,10.00000000
8.50000000,8.13603535,8.01976210,8.09159922,10.00000000
8.51666667,8.06732860,7.95340206,8.02407699,10.00000000
8.53333333,7.99874899,7.88716690,7.95667542,10.00000000
8.55000000,7.93030050,7.82106045,7.88939830,10.00000000
8.56666667,7.86198715,7.75508669,7.82224951,10.00000000
8.58333333,7.79381350,7.68924968,7.75523305,10.00000000
8.60000000,7.72578374,7.62355368,7.68835310,10.00000000
8.61666667,7.65790246,7.55800303,7.62161394,10.00000000
8.63333333,7.59017457,7.49260226,7.55502000,10.00000000
8.65000000,7.52260485,7.42735603,7.48857588,10.00000000
8.66666667,7.45519837,7.36226916,7.42228633,10.00000000
8.68333333,7.38796037,7.29734663,7.35615624,10.00000000
8.70000000,7.32089629,7.23259361,7.29019070,10.00000000
8.71666667,7.25401177,7.16801541,7.22439496,10.00000000
8.73333333,7.18731264,7.10361755,7.15877446,10.00000000
8.75000000,7.12080489,7.03940573,7.09333481,10.00000000
8.76666667,7.05449475,6.97538584,7.02808185,10.00000000
8.78333333,6.98838871,6.91156400,6.96302160,10.00000000
8.80000000,6.92249342,6.84794652,6.89816030,10.00000000
8.81666667,6.85681579,6.78453992,6.83350441,10.00000000
8.83333333,6.79136299,6.72135097,6.76906062,10.00000000
8.85000000,6.72614248,6.65838668,6.70483586,10.00000000
8.86666667,6.66116198,6.59565428,6.64083732,10.00000000
8.88333333,6.59642938,6.53316128,6.57707242,10.00000000
8.90000000,6.53195304,6.47091544,6.51354888,10.00000000
8.91666667,6.46774148,6.40892481,6.45027467,10.00000000
8.93333333,6.40380357,6.34719772,6.38725807,10.00000000
8.95000000,6.34014853,6.28574278,6.32450764,10.00000000
8.96666667,6.27678591,6.22456893,6.26203229,10.00000000
8.98333333,6.21372557,6.16368542,6.19984120,10.00000000
9.00000000,6.15097776,6.10310183,6.13794394,10.00000000
